ticker,weight
NVDA,0.08163346231328704
AAPL,0.07073278312132447
MSFT,0.048490014799915375
AMZN,0.0405875111735799
GOOGL,0.034784173704210934
AVGO,0.030632638948423947
GOOG,0.027678999609289916
META,0.020822191772290864
TSLA,0.01869057650669326
BRK-B,0.013912903030336505
MU,0.013185054414843814
LLY,0.01316455234158291
JPM,0.01288595828311376
AMD,0.011894214264896312
XOM,0.010098696920642627
INTC,0.008782171645238448
JNJ,0.00875840765109758
V,0.008623798382391423
WMT,0.008223602715166908
CSCO,0.0074200195010837985
COST,0.007121533728782205
CAT,0.006385400234490086
MA,0.006332449052598094
LRCX,0.005949123319740529
ABBV,0.005945671286907434
NFLX,0.005834355735405466
CVX,0.005596545693828181
UNH,0.0054899529234775785
BAC,0.005360646777674437
AMAT,0.0053517715512310885
PG,0.005237474243832708
ORCL,0.0050835836207225715
GE,0.00495560825859132
KO,0.004921538195412515
PLTR,0.0048787129764976
HD,0.004862753578327206
MRK,0.004738050142968191
GS,0.004663346151281567
PM,0.004589712790067815
TXN,0.004377177632364147
GEV,0.0043679722114758944
QCOM,0.003963073774884554
KLAC,0.003860663467502743
MS,0.0037727016685585807
LIN,0.003770510378151486
RTX,0.0037069229327766537
IBM,0.0037016498275504483
WFC,0.003686000612040419
C,0.0034097879559314894
SNDK,0.003404284715183077
PANW,0.0032864953513825224
PEP,0.003210040328548676
VZ,0.0031806230052753466
MCD,0.003135856643260083
ADI,0.0030259719343527017
NEE,0.0028766439981176115
AMGN,0.0028499182598648695
DIS,0.00284609600901779
STX,0.0027641777690046113
T,0.0027584343868417237
TJX,0.002741394352306186
BA,0.0026864720096370347
CRM,0.002631879861412789
TMO,0.002627067027230996
CRWD,0.002613398978390394
AXP,0.0026043536517784596
GILD,0.0026001511770251265
WDC,0.0025599274901003705
APH,0.002533571969861612
ANET,0.002480530734939191
UNP,0.0024595283670647973
ISRG,0.002427339411632722
BLK,0.002414661946126835
ABT,0.002370886167446286
ETN,0.002369615419128016
GLW,0.002361350552113128
WELL,0.0023542163509247325
SCHW,0.0023473923323967015
UBER,0.0023054176143247236
COP,0.0023018254989998514
PFE,0.002295591828115741
HON,0.0022567389484319522
PLD,0.0021149254372915126
DE,0.0020838371300091196
APP,0.002039280891731523
BKNG,0.002027503956529921
SPGI,0.0019928035221381166
VRT,0.0019552113848803282
MO,0.001933478586870236
BMY,0.0018912237038147025
LOW,0.0018844697265325604
CB,0.0018598152079796753
CVS,0.0018509900109976761
NEM,0.0018353708131644564
SBUX,0.001831528550532838
COF,0.0018304178964908856
PGR,0.0018277363173625685
VRTX,0.0017199628517241233
ACN,0.0017198727986936948
