date,value
2019-04-01,2.0913377235709074
2019-05-01,1.97242800754438
2019-06-01,2.0746001344216447
2019-07-01,2.1657049503490455
2019-08-01,2.321135673598529
2019-09-01,2.3300099083477743
2019-10-01,2.3378148209658223
2019-11-01,2.3546960942649298
2019-12-01,2.2905988164406255
2020-01-01,2.2817391837892886
2020-02-01,2.3676613601035346
2020-03-01,2.097741687598198
2020-04-01,1.4309324152566472
2020-05-01,1.2184564692601985
2020-06-01,1.1836841884912408
2020-07-01,1.560695837131587
2020-08-01,1.7223933878284248
2020-09-01,1.7190644053436621
2020-10-01,1.6364116692455521
2020-11-01,1.6693780408814973
2020-12-01,1.624313961356294
2021-01-01,1.3763703714812836
2021-02-01,1.280248344990098
2021-03-01,1.6494791315614155
2021-04-01,2.9780316542864504
2021-05-01,3.7876961101984907
2021-06-01,4.439362194328367
2021-07-01,4.210719214328185
2021-08-01,3.9396919775577244
2021-09-01,4.002855729865806
2021-10-01,4.590317334184912
2021-11-01,4.972572143965692
2021-12-01,5.488993530393094
2022-01-01,6.05428515424189
2022-02-01,6.4551151617656455
2022-03-01,6.482378554404167
2022-04-01,6.158737119052837
2022-05-01,6.0254478790408905
2022-06-01,5.906335651591377
2022-07-01,5.899916740834321
2022-08-01,6.286089097732228
2022-09-01,6.624287624509306
2022-10-01,6.294999786983246
2022-11-01,5.969880665899807
2022-12-01,5.685531944736666
2023-01-01,5.539533472591773
2023-02-01,5.498260329618088
2023-03-01,5.566741392671326
2023-04-01,5.514364195873522
2023-05-01,5.337547036084689
2023-06-01,4.853596327155252
2023-07-01,4.700970557935236
2023-08-01,4.399143440066089
2023-09-01,4.128747996485882
2023-10-01,4.027401561127464
2023-11-01,4.017980521102138
2023-12-01,3.9154727698627045
2024-01-01,3.8583540949372663
2024-02-01,3.7619647313751337
2024-03-01,3.8161935067360986
2024-04-01,3.6260251717590952
2024-05-01,3.394419668976645
2024-06-01,3.2654173234475614
2024-07-01,3.2301916105644812
2024-08-01,3.2850959364300047
2024-09-01,3.2823574494668994
2024-10-01,3.298689706765301
2024-11-01,3.2859356193500444
2024-12-01,3.2133335461932644
2025-01-01,3.282970485398584
2025-02-01,3.13755688228059
2025-03-01,2.808783050077035
2025-04-01,2.7760200724699313
2025-05-01,2.7658403935930886
2025-06-01,2.910895442696071
2025-07-01,3.0544930080893096
2025-08-01,3.111806098514469
2025-09-01,3.0199668258857892
2025-11-01,2.8943434111105226
2025-12-01,2.837998245815232
2026-01-01,2.9493378374616075
2026-02-01,2.7335062438778035
2026-03-01,2.6730984898529986
2026-04-01,2.9884245755166017
