date,value
1960-01-01,100.758228342127
1960-02-01,100.450737436775
1960-03-01,100.110300063066
1960-04-01,99.788601098419
1960-05-01,99.5076147328252
1960-06-01,99.262309993343
1960-07-01,99.0316502844029
1960-08-01,98.8130528748257
1960-09-01,98.5965210492547
1960-10-01,98.4104733284516
1960-11-01,98.2884938161061
1960-12-01,98.2663165531348
1961-01-01,98.3636279699984
1961-02-01,98.6002221249069
1961-03-01,98.9618538664978
1961-04-01,99.3960961907366
1961-05-01,99.8387197033946
1961-06-01,100.250183669873
1961-07-01,100.604308729285
1961-08-01,100.893701925299
1961-09-01,101.104439045683
1961-10-01,101.233915085323
1961-11-01,101.288572470473
1961-12-01,101.255531545231
1962-01-01,101.126972019228
1962-02-01,100.921220578241
1962-03-01,100.641098055185
1962-04-01,100.312850921631
1962-05-01,99.981652462665
1962-06-01,99.693625082118
1962-07-01,99.4954564237152
1962-08-01,99.3959469050345
1962-09-01,99.3928177919858
1962-10-01,99.4719458733423
1962-11-01,99.614720920103
1962-12-01,99.7864072316087
1963-01-01,99.9558620820719
1963-02-01,100.102728633337
1963-03-01,100.218623689858
1963-04-01,100.299670867913
1963-05-01,100.330277992785
1963-06-01,100.310312789374
1963-07-01,100.261864479961
1963-08-01,100.211930161254
1963-09-01,100.18483029203
1963-10-01,100.176322832705
1963-11-01,100.181411738417
1963-12-01,100.213819415268
1964-01-01,100.284912949394
1964-02-01,100.371324316257
1964-03-01,100.466363388845
1964-04-01,100.560133513611
1964-05-01,100.645837152081
1964-06-01,100.722834602533
1964-07-01,100.786841814466
1964-08-01,100.829279847878
1964-09-01,100.871577549403
1964-10-01,100.919540608762
1964-11-01,100.989802564061
1964-12-01,101.073959845235
1965-01-01,101.148513232253
1965-02-01,101.192922644554
1965-03-01,101.194675876006
1965-04-01,101.150112653587
1965-05-01,101.077827119365
1965-06-01,101.010895970025
1965-07-01,100.987055044008
1965-08-01,101.026054914089
1965-09-01,101.134587655946
1965-10-01,101.300829695261
1965-11-01,101.497722210458
1965-12-01,101.686097035194
1966-01-01,101.819009484147
1966-02-01,101.849759016136
1966-03-01,101.752921684739
1966-04-01,101.531183222179
1966-05-01,101.209807718307
1966-06-01,100.850472831587
1966-07-01,100.48289059515
1966-08-01,100.126885078254
1966-09-01,99.7872855488267
1966-10-01,99.4586011611272
1966-11-01,99.1541857951815
1966-12-01,98.8947221406642
1967-01-01,98.7052080488869
1967-02-01,98.6036734244782
1967-03-01,98.6206755301287
1967-04-01,98.7600111824634
1967-05-01,99.0082060380983
1967-06-01,99.3179893235256
1967-07-01,99.6497480252808
1967-08-01,99.9695767866517
1967-09-01,100.245084942476
1967-10-01,100.464303869194
1967-11-01,100.622816850423
1967-12-01,100.721945878686
1968-01-01,100.757992732728
1968-02-01,100.761453813643
1968-03-01,100.753275166264
1968-04-01,100.745828220855
1968-05-01,100.747453708931
1968-06-01,100.772132529493
1968-07-01,100.833576637868
1968-08-01,100.943343689773
1968-09-01,101.101331166207
1968-10-01,101.258670330851
1968-11-01,101.357619411959
1968-12-01,101.377823882672
1969-01-01,101.324023505968
1969-02-01,101.204552796697
1969-03-01,101.029095554918
1969-04-01,100.799181493083
1969-05-01,100.520191827042
1969-06-01,100.237381620895
1969-07-01,99.9866613440121
1969-08-01,99.7774488530596
1969-09-01,99.5865774438211
1969-10-01,99.3789359325237
1969-11-01,99.1349275409656
1969-12-01,98.8505930614982
1970-01-01,98.5346760105318
1970-02-01,98.2219542877196
1970-03-01,97.9428099556131
1970-04-01,97.7235366948537
1970-05-01,97.5932327175991
1970-06-01,97.5434947844979
1970-07-01,97.5449745989933
1970-08-01,97.5889687498778
1970-09-01,97.6937434318411
1970-10-01,97.8917190078413
1970-11-01,98.221088219746
1970-12-01,98.6732125314773
1971-01-01,99.1653520721944
1971-02-01,99.6048305349988
1971-03-01,99.9331439654139
1971-04-01,100.146739027679
1971-05-01,100.256407030274
1971-06-01,100.294852708278
1971-07-01,100.303551065998
1971-08-01,100.327058209804
1971-09-01,100.411412500834
1971-10-01,100.590436975993
1971-11-01,100.877924365959
1971-12-01,101.254976631277
1972-01-01,101.649891233305
1972-02-01,102.002521682774
1972-03-01,102.27841999778
1972-04-01,102.481582326324
1972-05-01,102.63748162479
1972-06-01,102.775363622702
1972-07-01,102.931793639029
1972-08-01,103.130578223771
1972-09-01,103.350379298002
1972-10-01,103.55619128098
1972-11-01,103.72053171679
1972-12-01,103.807595873636
1973-01-01,103.793179804434
1973-02-01,103.666917458082
1973-03-01,103.42614560488
1973-04-01,103.088838478618
1973-05-01,102.693530526139
1973-06-01,102.287986416644
1973-07-01,101.910661345252
1973-08-01,101.584442933666
1973-09-01,101.324252195252
1973-10-01,101.113387422369
1973-11-01,100.905887838473
1973-12-01,100.684382954683
1974-01-01,100.458853079623
1974-02-01,100.202968486654
1974-03-01,99.8958348079309
1974-04-01,99.5203246715456
1974-05-01,99.083653385144
1974-06-01,98.5981794307999
1974-07-01,98.07716408003
1974-08-01,97.5238115052696
1974-09-01,96.9495061627422
1974-10-01,96.4089762942542
1974-11-01,95.9511140675124
1974-12-01,95.6436792902768
1975-01-01,95.5476820252255
1975-02-01,95.6529503322609
